source,target,weight
k3llyt,filihominis,1
k3llyt,dkbu,1
transfergroup,barrysaunders,1
deucewt,stormelements,1
deucewt,jawar,1
jazzzyone,creative,1
jazzzyone,originalnajeema,1
debdobson,heathermilligan,1
debdobson,johnmbyrne,1
debdobson,edschechter,1
myinnerredd,qnslipstream,1
myinnerredd,myinnerevileye,1
myinnerredd,myinnersexygirl,1
myinnerredd,myinnersexfiend,1
myinnerredd,myinnercougar,1
myinnerredd,myinnerjucjuice,1
jemfyr,sampalm,1
drjennifer,whitsundays,1
drjennifer,jintanut,1
drjennifer,sochagota,1
drjennifer,karentweet,1
drjennifer,yahaloma,1
drjennifer,iconic88,1
drjennifer,payshel,1
straightstreet,donaldhardycrs,1
straightstreet,weirdchina,1
straightstreet,amber_shh,1
straightstreet,whitsundays,1
straightstreet,sumal,1
straightstreet,steigerlaw,1
straightstreet,whodeani,1
straightstreet,zsafwan,1
straightstreet,mamacapps,2
straightstreet,tmjobrequest,2
straightstreet,arnaudjacobs,1
ucyimd1,jawar,4
patient_warrior,sent1,1
patient_warrior,1cor16_13,1
patient_warrior,lorenaheletea,1
patient_warrior,lewycbc,1
patient_warrior,youngcobris,1
patient_warrior,teddy_salad,1
patient_warrior,paulagroenink,1
patient_warrior,wesleycrawford,1
patient_warrior,livelifeblessed,1
straightstreet,liturgy,1
straightstreet,postulantk,1
straightstreet,jimhandi,1
straightstreet,andychrism,1
straightstreet,davanna,1
straightstreet,larryfrieders,1
straightstreet,jo,1
archdaily,muhammad_adel,1
archdaily,archicentral,1
archdaily,designobserver,1
archdaily,dwell,1
archdaily,wallpapermag,1
archdaily,archinect,1
archdaily,archimag,1
archdaily,desig,1
contestedfooty,packers4,2
contestedfooty,seancallanan,1
contestedfooty,sportzfanradio,1
contestedfooty,thegelding,1
contestedfooty,guran45,1
elbertf,wpstudios,1
elbertf,tonymarkx,1
elbertf,modelsupplies,1
bacieabbracci,mamabee4,3
bacieabbracci,lorimoreno,2
bacieabbracci,melisangel,5
bacieabbracci,jhillstephens,5
bacieabbracci,chefvanda,3
tmjobrequest,mamacapps,11
tmjobrequest,expensiveguy,9
tmjobrequest,weizenbaum,10
tmjobrequest,tap29,15
tmjobrequest,anitadfiouris,8
tmjobrequest,ecjake,6
tmjobrequest,straightstreet,6
tmjobrequest,teamwinnipeg,15
jmliss,meeabee,1
jmliss,luvtosparkle,1
jmliss,busylittlepiggy,1
jmliss,kellibeans,1
jmliss,islaluna,1
jmliss,artfaerie,1
jmliss,metal_ology,1
jmliss,sunbasilgarden,1
bacieabbracci,g_nizz,2
bacieabbracci,passionshaker,1
bacieabbracci,tom_zegan,1
bacieabbracci,chrisvoss,2
bacieabbracci,triplebeamsheme,1
bacieabbracci,lspearmanii,1
bacieabbracci,sheilafightseb,1
bacieabbracci,parkplacemtg,1
bacieabbracci,nurul54,2
iammyy,fridayluv,1
iammyy,bleongcw,1
metal_ology,jmliss,1
metal_ology,meeabee,1
metal_ology,luvtosparkle,1
metal_ology,busylittlepiggy,1
metal_ology,kellibeans,1
metal_ology,islaluna,1
metal_ology,artfaerie,1
metal_ology,sunbasilgarden,1
fridayluv,teamwinnipeg,2
fridayluv,mamacapps,1
fridayluv,expensiveguy,1
fridayluv,weizenbaum,1
fridayluv,tap29,1
fridayluv,anitadfiouris,1
fridayluv,ecjake,1
fridayluv,straightstreet,1
contestedfooty,thesportsfreak,1
contestedfooty,david_speers,1
contestedfooty,michcoll,1
contestedfooty,wil_anderson,1
contestedfooty,radiowest_wa,1
contestedfooty,joe_hildebrand,1
contestedfooty,mdifabrizio,1
straightstreet,expensiveguy,1
